index,customer_city,customer_state,geo_lat,geo_lng,avg_delivery_time,total_payment_value,avg_payment_value,max_payment_value,cnt_payment_value,avg_delivery_time_formatted,delivery_time_days
3242,Santa maria,RS,-29.40968971922773,-53.5854065926925,17 days 06:56:55.566326530,37197.74,189.78,3297.3999999999996,196,17 days,17
2196,Marilia,SP,-22.206785208404625,-49.94702866748163,9 days 21:41:13.963917525,37219.88,191.86,6726.66,194,9 days,9
1853,Jacarei,SP,-23.298638967807914,-45.962444968877854,8 days 21:49:45.308510638,20855.43,110.93,811.46,188,8 days,8
3872,Uberaba,MG,-19.751422021269992,-47.93818275225115,11 days 04:12:27.645161290,31881.58,171.41,1342.63,186,11 days,11
2060,Limeira,SP,-22.57044868560047,-47.40887887846256,8 days 10:01:27.661290322,26060.74,140.11,1281.12,186,8 days,8
2732,Pelotas,RS,-31.75118040083165,-52.33377309049932,17 days 08:52:08.409836065,27209.33,148.68,1057.88,183,17 days,17
1300,Feira de santana,BA,-12.24879765308807,-38.956656275210065,16 days 11:16:45.922651933,31427.0,173.63,1894.41,181,16 days,16
3925,Valinhos,SP,-22.96992605445162,-46.9956517782623,8 days 06:26:29.541436464,25190.98,139.18,1638.35,181,8 days,8
472,Blumenau,SC,-26.898237321868162,-49.089442046089516,12 days 09:45:30.701657458,28625.75,158.15,1936.99,181,12 days,12
3285,Santana de parnaiba,SP,-23.45139388253462,-46.880353803381084,7 days 04:43:01.780898876,25866.02,145.31,1830.9,178,7 days,7
3688,Sumare,SP,-22.818381182806924,-47.23268673605662,9 days 22:28:11.118644067,24209.26,136.78,1337.19,177,9 days,9
1780,Itapevi,SP,-23.550606543442964,-46.94527626789786,8 days 00:34:35.017647058,21190.41,124.65,893.12,170,8 days,8
1658,Ipatinga,MG,-19.4732363109768,-42.55560747106481,11 days 20:18:38.727810650,25958.56,153.6,1479.51,169,11 days,11
1798,Itaquaquecetuba,SP,-23.468771692089902,-46.341581028422496,9 days 01:17:45.142857142,21421.82,127.51,2322.32,168,9 days,9
3448,Sao jose,SC,-27.58540286776078,-48.628146108272595,15 days 03:46:07.305389221,24230.43,145.09,885.99,167,15 days,15
3563,Sao vicente,SP,-23.742075891590034,-46.27324980069868,11 days 05:08:07.723270440,21838.86,137.35,1556.67,159,11 days,11
1227,Embu das artes,SP,-23.654557711756677,-46.81872086085032,8 days 17:18:25.433121019,22400.92,142.68,1936.5,157,8 days,8
2958,Presidente prudente,SP,-22.119478202597065,-51.404602296494055,11 days 02:14:04.152866242,29166.5,185.77,3526.46,157,11 days,11
1358,Franca,SP,-20.534189393444617,-47.39649463586023,10 days 09:12:03.448051948,25275.25,164.12,1041.4,154,10 days,10
3085,Rio claro,SP,-22.40949996952862,-47.499540813043694,8 days 13:21:33.889610389,22988.68,149.28,1468.45,154,8 days,8
325,Atibaia,SP,-23.121578678150886,-46.56189510670834,8 days 17:55:02.045454545,23180.88,150.53,1006.0,154,8 days,8
853,Cascavel,PR,-24.26608198813727,-52.955292530378635,11 days 20:28:45.827814569,28403.13,188.1,1996.32,151,11 days,11
261,Araraquara,SP,-21.78382807496554,-48.171300146133895,9 days 11:13:44.633333333,22649.93,151.0,1775.26,150,9 days,9
541,Braganca paulista,SP,-22.94622039841069,-46.54304213301442,7 days 11:54:08.861111111,22683.22,157.52,1963.14,144,7 days,7
1527,Hortolandia,SP,-22.88172847076558,-47.207065119355676,12 days 01:54:27.464788732,18413.0,129.67,881.12,142,12 days,12
2873,Ponta grossa,PR,-25.09574736766817,-50.15733834289484,12 days 01:06:29.460992907,21786.91,154.52,1125.57,141,12 days,12
2451,Nova friburgo,RJ,-22.279450240993572,-42.52907053187749,19 days 16:30:07.078014184,30653.7,217.4,2315.83,141,19 days,19
227,Aracatuba,SP,-21.205870129543023,-50.44472714485806,10 days 02:48:49.384057971,19261.27,139.57,1388.43,138,10 days,10
2141,Manaus,AM,-3.0858643129779715,-60.01142975787484,26 days 11:09:27.372262773,25542.82,186.44,1853.75,137,26 days,26
815,Cariacica,ES,-20.32898482822373,-40.38396071265772,14 days 20:07:31.266666666,19353.08,143.36,912.79,135,14 days,14
1438,Governador valadares,MG,-18.86181754289229,-41.95375437960334,11 days 13:42:51.470149253,21475.72,160.27,1019.99,134,11 days,11
2190,Marica,RJ,-22.93056560805961,-42.879336558738764,16 days 15:17:39.624060150,18020.17,135.49,840.48,133,16 days,16
1172,Divinopolis,MG,-20.143124277126986,-44.88855290210241,11 days 04:14:20.234848484,38392.73,290.85,6081.54,132,11 days,11
1844,Jaboatao dos guararapes,PE,-8.152379155321515,-34.95211570015991,15 days 19:21:54.862595419,25282.34,192.99,2065.35,131,15 days,15
3088,Rio das ostras,RJ,-22.511389264142608,-41.93584061954556,19 days 07:20:55.038461538,22385.63,172.2,1755.35,130,19 days,19
3484,Sao jose dos pinhais,PR,-25.530631774869356,-49.17157966548644,10 days 17:03:54.861538461,17521.99,134.78,1422.05,130,10 days,10
1825,Itu,SP,-23.286800646424368,-47.30571305763647,8 days 11:39:15.364341085,14236.31,110.36,1006.34,129,8 days,8
2931,Pouso alegre,MG,-22.233398703272318,-45.930449882617964,12 days 02:15:39.109375,23967.97,187.25,1589.57,128,12 days,12
2690,Paulinia,SP,-22.762699970246143,-47.16261744170588,9 days 22:52:22.425196850,18545.23,146.03,1221.39,127,9 days,9
3643,Sete lagoas,MG,-19.457432553086086,-44.24038028359901,13 days 04:35:59.603174603,20173.89,160.11,1101.51,126,13 days,13
3422,Sao joao de meriti,RJ,-22.787327551838704,-43.367564926541455,17 days 20:56:14.693548387,20782.72,167.6,927.63,124,17 days,17
3103,Rio grande,RS,-32.0726653142811,-52.13030171012841,16 days 17:35:48.776859504,19068.89,157.59,1635.51,121,16 days,16
621,Cachoeiro de itapemirim,ES,-20.84674091359177,-41.12502433678258,13 days 19:41:56.834710743,19175.45,158.47,1371.88,121,13 days,13
2502,Novo hamburgo,RS,-29.690540291188537,-51.12451264519587,14 days 06:41:39.256198347,20527.59,169.65,838.97,121,14 days,14
406,Barra mansa,RJ,-22.54172854479424,-44.174764493395166,15 days 13:02:50.403361344,21511.37,180.77,2429.68,119,15 days,15
3768,Teresopolis,RJ,-22.413673203795437,-42.9625638174683,15 days 11:26:08.008403361,20266.34,170.31,1367.75,119,15 days,15
1738,Itajai,SC,-26.907352285014152,-48.68199133384059,14 days 10:25:20.285714285,21465.52,180.38,2647.76,119,14 days,14
3196,Santa barbara d'oeste,SP,-22.749680444822317,-47.39534776176175,8 days 01:59:22.915254237,14980.13,126.95,1029.84,118,8 days,8
2863,Pocos de caldas,MG,-21.797323408876167,-46.56493631558733,12 days 12:22:50.034482758,18309.36,157.84,1078.92,116,12 days,12
3036,Resende,RJ,-22.471166549248075,-44.46396657069943,16 days 15:48:04.782608695,16300.28,141.74,839.4,115,16 days,16
598,Cabo frio,RJ,-22.860727457181348,-42.02819492386061,18 days 20:36:21.831858407,18857.72,166.88,1250.42,113,18 days,18
2669,Passo fundo,RS,-28.262646692056084,-52.45473618356472,14 days 03:23:20.705357142,18088.81,161.51,698.5,112,14 days,14
163,Anapolis,GO,-16.32793133780367,-48.94989289074605,16 days 13:54:14.252252252,20029.82,180.45,2036.04,111,16 days,16
1449,Gravatai,RS,-29.931372295541188,-51.01355467798282,14 days 06:41:23.720720720,21131.64,190.38,1478.45,111,14 days,14
1313,Ferraz de vasconcelos,SP,-23.541328273912512,-46.37500713945066,8 days 10:57:32.972477064,17385.65,159.5,2014.99,109,8 days,8
2922,Porto velho,RO,-8.760314041205943,-63.87534695989748,19 days 04:35:03.148148148,26028.6,241.01,2452.12,108,19 days,19
1366,Franco da rocha,SP,-23.310383646723853,-46.729266001007346,7 days 07:23:57.666666666,11830.23,109.54,438.22,108,7 days,7
2590,Palmas,PR,-13.09800711517229,-48.9782020404479,16 days 01:32:36.289719626,23705.75,221.55,1415.8,107,16 days,16
3067,Ribeirao pires,SP,-23.704993763987282,-46.408144952143665,8 days 04:29:48.339622641,11725.68,110.62,541.42,106,8 days,8
205,Aparecida de goiania,GO,-16.77389665459843,-49.27178266931675,14 days 21:53:12.723809523,16558.56,157.7,1770.72,105,14 days,14
443,Belford roxo,RJ,-22.738023401398568,-43.38191827756671,14 days 11:36:35.500000,14628.03,140.65,1222.94,104,14 days,14
2127,Mage,RJ,-22.63823203829839,-43.12320352006442,13 days 05:06:35.855769230,16570.28,159.33,1521.75,104,13 days,13
3486,Sao leopoldo,RS,-29.765288907424697,-51.13914409774124,14 days 21:09:29.058252427,13185.7,128.02,571.73,103,14 days,14
2410,Nilopolis,RJ,-22.809638935073075,-43.41856833997299,14 days 06:42:42.582524271,15462.98,150.13,878.04,103,14 days,14
927,Chapeco,SC,-27.097346360066172,-52.62097869923406,16 days 10:54:15.851485148,17500.06,173.27,1391.79,101,16 days,16
535,Botucatu,SP,-22.881074572731663,-48.44723321064744,10 days 01:53:47.210000,18965.12,189.65,1425.56,100,10 days,10
2677,Patos de minas,MG,-18.58828619813901,-46.51244492353363,12 days 06:50:36.707070707,19269.36,194.64,1499.87,99,12 days,12
3064,Ribeirao das neves,MG,-19.781349209115735,-44.05728408314868,11 days 10:33:16,14774.8,150.76,939.98,98,11 days,11
354,Balneario camboriu,SC,-27.001478998891084,-48.6371279001166,14 days 09:47:26.525773196,18971.08,195.58,1653.6,97,14 days,14
2783,Pindamonhangaba,SP,-22.93251109226484,-45.44577227680376,10 days 23:56:31.206185567,14047.15,144.82,1030.83,97,10 days,10
1809,Itatiba,SP,-23.00833122464354,-46.83533952999305,7 days 22:13:52.628865979,13634.02,140.56,1104.93,97,7 days,7
2462,Nova lima,MG,-20.00811533296961,-43.90205502428258,12 days 07:42:26.937500,23112.17,240.75,4163.51,96,12 days,12
639,Caieiras,SP,-23.36307644562977,-46.737385021663606,7 days 15:00:17.875000,14115.37,147.04,1793.23,96,7 days,7
642,Cajamar,SP,-23.382820034841515,-46.84546595264317,8 days 01:59:07.531250,11342.87,118.15,659.52,96,8 days,8
3238,Santa luzia,PB,-18.807548101737826,-43.561230619819234,12 days 16:53:44.083333333,13931.57,145.12,2590.61,96,12 days,12
1496,Guaratingueta,SP,-22.80042515212548,-45.19234102951098,11 days 22:47:59.750000,16593.2,172.85,1172.45,96,11 days,11
1363,Francisco morato,SP,-23.280963361283376,-46.740017372539256,8 days 19:06:00.510638297,9688.8,103.07,751.17,94,8 days,8
